model,test_set,mAP_avg,mAP@7,mAP@5,mAP@10,precision,recall,f1,mean_dT1_ms,mean_dT2_ms,mean_dw,median_dT1_ms,median_dT2_ms,exist_threshold(val),n_test
baseline_seed20260725,t1_3500_t2_500_100k,0.6631025416509472,0.6686682584284098,0.5471740232659963,0.7734653432584356,0.7748894969480109,0.7363736373637364,0.7551407620122046,59.661114627378915,6.54230063707594,0.04983006770091007,18.451081014803776,1.62888294380335,0.75,9999
baseline_seed20260726,t1_3500_t2_500_100k,0.6496656493546754,0.6520314991676758,0.5331842971756999,0.7637811517206504,0.7710260499734184,0.7252225222522253,0.7474232117089259,59.30896417331784,6.78287664778139,0.047572369661979017,18.51792434150711,1.64738208572129,0.75,9999
baseline_seed20260727,t1_3500_t2_500_100k,0.6641475032675496,0.6688137985845115,0.5501720274630532,0.7734566837550841,0.7785971986417657,0.7338233823382339,0.7555475467229573,59.03249459375211,6.679297956728063,0.048017369497321986,17.993882034153614,1.6208906360255533,0.75,9999
loss_uniform_seed20260725,t1_3500_t2_500_100k,0.7516759898222007,0.7624221712328706,0.638952113376482,0.8536536848572496,0.8400975826125526,0.7576757675767577,0.7967607929747068,59.05752978937307,6.760312006184199,0.045795164925833326,18.647074142997667,1.695434733078418,0.75,9999
loss_uniform_seed20260726,t1_3500_t2_500_100k,0.7478982123812828,0.7582283128591056,0.632507849799396,0.8529584744853469,0.8444890673806337,0.757075707570757,0.7983968781310973,60.00239736328944,6.914912883045258,0.044445327569027006,19.450933580227243,1.6906694965942881,0.75,9999
loss_uniform_seed20260727,t1_3500_t2_500_100k,0.7510545013334055,0.7614577178214411,0.6364380029192126,0.8552677832595629,0.8516775892006946,0.7603260326032604,0.8034133840585453,59.85643250976098,6.7020287997625845,0.04422486882793862,18.697517909146995,1.6376583015174582,0.75,9999
final_uniform_q6_seed20260724,t1_3500_t2_500_100k,0.7472905220811831,0.7550193171628672,0.6337251145344209,0.8531271345462609,0.8686804634807171,0.7535253525352535,0.8070156647476235,58.665946910928525,6.583624790344281,0.04380439718803423,18.408669088718938,1.632200304409726,0.75,9999
final_uniform_q6_seed20260725,t1_3500_t2_500_100k,0.7403416033708611,0.7486714351480375,0.6285929466968911,0.8437604282676547,0.8639313861845155,0.7454745474547455,0.8003435872657969,59.556033415010994,6.803106828106876,0.044279014126841924,18.671962450092806,1.6972837211994722,0.75,9999
final_uniform_q6_seed20260726,t1_3500_t2_500_100k,0.7307605974230059,0.7407223815466618,0.6131197734595379,0.838439637262818,0.8516997490303445,0.7466746674667467,0.7957367439381828,60.735820208387715,6.963903018760839,0.04580954161340841,19.016916638019524,1.7239988481468203,0.65,9999
final_uniform_q6_seed20260727,t1_3500_t2_500_100k,0.7263275076179964,0.7361878213453432,0.605893848938331,0.8369008525703148,0.8584509506590459,0.736023602360236,0.7925371527029937,61.767909691701426,6.893459915085966,0.044938622707326084,18.954602784941585,1.6642471491937982,0.75,9999
data_loguniform,t1_loguniform_100k,0.6648248834977408,0.6683832893294818,0.5495144749204873,0.7765768862432534,0.7853249251817016,0.7348234823482348,0.7592353397055026,51.88251703220892,6.031729502631942,0.04727220418494891,14.63716797483957,1.483538453820799,0.75,9999
